,team_url,team_name
8,ccc-sprandi-polkowice-2018,CCC Sprandi Polkowice 
21,caja-rural-seguros-rga-2018,Caja Rural - Seguros RGA
46,burgos-bh-2018,Burgos-BH
47,euskadi-murias-2018,Euskadi - Murias
23,rally-cycling-2018,Rally Cycling
40,canada-2018,Canada
0,deceuninck-quick-step-2019,Deceuninck - Quick Step
1,lotto-soudal-2019,Lotto Soudal
2,mitchelton-scott-2019,Mitchelton-Scott
3,team-dimension-data-2019,Team Dimension Data
4,team-katusha-alpecin-2019,Team Katusha Alpecin
5,team-sky-2019,Team Sky
7,bora-hansgrohe-2019,BORA - hansgrohe
9,astana-pro-team-2019,Astana Pro Team
10,ag2r-la-mondiale-2019,AG2R La Mondiale
11,team-jumbo-visma-2019,Team Jumbo-Visma
12,uae-team-emirates-2019,UAE Team Emirates
15,team-sunweb-2019,Team Sunweb
18,ef-education-first-2019,EF Education First
21,korda-mentha-real-estate-australia-2019,Korda Mentha Real Estate Australia
23,ccc-team-2019,CCC Team
28,trek-segafredo-2019,Trek - Segafredo
4,bahrain-merida-2019,Bahrain Merida
17,groupama-fdj-2019,Groupama - FDJ
19,direct-energie-2019,Direct Energie
23,wallonie-bruxelles-2019,Wallonie-Bruxelles
24,movistar-team-2019,Movistar Team
26,corendon-circus-2019,Corendon - Circus
30,cofidis-solutions-credits-2019,"Cofidis, Solutions Crédits"
31,sport-vlaanderen-baloise-2019,Sport Vlaanderen - Baloise
45,roompot-charles-2019,Roompot - Charles
46,wanty-gobert-cycling-team-2019,Wanty - Gobert Cycling Team
15,nippo-vini-fantini-faizane-2019,Nippo Vini Fantini Faizanè
37,neri-sottoli-selle-italia-ktm-2019,Neri Sottoli - Selle Italia - KTM
51,vital-concept-bb-hotels-2019,Vital Concept - B&B Hotels
21,israel-cycling-academy-2019,Israel Cycling Academy
32,androni-sidermec-bottecchia-2019,Androni Giocattoli - Sidermec
89,bardiani-csf-2019,Bardiani - CSF
137,team-novo-nordisk-2019,Team Novo Nordisk
8,delko-marseille-provence-2019,Delko Marseille Provence
14,team-total-direct-energie-2019,Team Total Direct Energie
45,team-arkea-samsic-2019,Team Arkéa Samsic
60,euskadi-basque-country-murias-2019,Euskadi Basque Country - Murias
88,rally-uhc-cycling-2019,Rally UHC Cycling
18,gazprom-rusvelo-2019,Gazprom-RusVelo
14,team-ineos-2019,Team INEOS
27,caja-rural-seguros-rga-2019,Caja Rural - Seguros RGA
75,burgos-bh-2019,Burgos-BH
9,great-britain-2019,Great Britain
21,canada-2019,Canada
0,deceuninck-quick-step-2020,Deceuninck - Quick Step
1,team-ineos-2020,Team INEOS
