,rider_url,rider_name,nationality
104,maxime-bouet,BOUET Maxime,FR
109,bartosz-huzarski,HUZARSKI Bartosz,PL
111,christopher-froome,FROOME Chris,GB
112,rafal-majka,MAJKA Rafał,PL
113,yoann-bagot,BAGOT Yoann,FR
116,joey-rosskopf,ROSSKOPF Joey,US
138,sindre-skjoestad-lunke,LUNKE Sindre,NO
157,fabrice-jeandesboz,JEANDESBOZ Fabrice,FR
158,lilian-calmejane,CALMEJANE Lilian,FR
159,perrig-quemeneur,QUÉMÉNEUR Perrig,FR
160,jeremy-cornu,CORNU Jérémy,FR
167,rein-taaramae,TAARAMÄE Rein,EE
171,jack-bobridge,BOBRIDGE Jack,AU
176,dennis-van-winden,VAN WINDEN Dennis,NL
195,nick-van-der-lijke,VAN DER LIJKE Nick,NL
8,nicolas-roche,ROCHE Nicolas,IE
14,george-bennett,BENNETT George,NZ
23,mikel-nieve,NIEVE Mikel,ES
24,rigoberto-uran,URÁN Rigoberto,CO
28,steven-kruijswijk,KRUIJSWIJK Steven,NL
31,angel-madrazo,MADRAZO Ángel,ES
35,mathias-frank,FRANK Mathias,CH
38,alberto-contador,CONTADOR Alberto,ES
43,simone-petilli,PETILLI Simone,IT
45,pello-bilbao,BILBAO Pello,ES
47,kenny-elissonde,ELISSONDE Kenny,FR
49,egor-silin,SILIN Egor,RU
51,stephane-rossetto,ROSSETTO Stéphane,FR
56,davide-formolo,FORMOLO Davide,IT
63,sergio-pardilla,PARDILLA Sergio,ES
66,mikel-landa,LANDA Mikel,ES
76,ilia-koshevoy,KOSHEVOY Ilia,BY
80,jose-joaquin-rojas,ROJAS José Joaquín,ES
85,davide-villella,VILLELLA Davide,IT
87,david-arroyo,ARROYO David,ES
88,jonathan-castroviejo,CASTROVIEJO Jonathan,ES
89,hugh-carthy,CARTHY Hugh,GB
94,amets-txurruka,TXURRUKA Amets,ES
95,jaime-roson,ROSÓN Jaime,ES
100,adrien-niyonshuti,NIYONSHUTI Adrien,RW
103,cedric-pineau,PINEAU Cédric,FR
104,jesus-hernandez-3,HERNÁNDEZ BLÁZQUEZ Jesús,ES
108,lluis-guillermo-mas,MAS Lluís,ES
112,david-lopez,LÓPEZ David,ES
113,blel-kadri,KADRI Blel,FR
114,guillaume-bonnafond,BONNAFOND Guillaume,FR
115,peter-velits,VELITS Peter,SK
116,carlos-barbero,BARBERO Carlos,ES
118,loic-chetout,CHETOUT Loïc,FR
121,alexandre-geniez,GENIEZ Alexandre,FR
127,jhonatan-restrepo,RESTREPO Jhonatan,CO
128,przemyslaw-niemiec,NIEMIEC Przemysław,PL
133,songezo-jim,JIM Songezo,ZA
134,steven-lammertink,LAMMERTINK Steven,NL
137,laurens-ten-dam,TEN DAM Laurens,NL
141,davide-malacarne,MALACARNE Davide,IT
143,xabier-zandio,ZANDIO Xabier,ES
145,pirmin-lang,LANG Pirmin,CH
149,louis-vervaeke,VERVAEKE Louis,BE
151,sean-de-bie,DE BIE Sean,BE
155,sergio-paulinho,PAULINHO Sérgio Miguel,PT
0,caleb-ewan,EWAN Caleb,AU
1,john-degenkolb,DEGENKOLB John,DE
5,dylan-groenewegen,GROENEWEGEN Dylan,NL
12,ruslan-tleubayev,TLEUBAYEV Ruslan,KZ
18,jordi-simon,SIMÓN Jordi,ES
23,jiri-polnicky,POLNICKÝ Jiří,CZ
24,kamil-gradek,GRADEK Kamil,PL
28,ruben-zepuntke,ZEPUNTKE Ruben,DE
78,marcel-kittel,KITTEL Marcel,DE
79,phil-bauhaus,BAUHAUS Phil,DE
88,rasmus-guldhammer,GULDHAMMER Rasmus,DK
89,alexander-kamp,KAMP Alexander,DK
95,davide-martinelli,MARTINELLI Davide,IT
102,rayane-bouhanni,BOUHANNI Rayane,FR
110,julien-berard,BÉRARD Julien,FR
125,pawel-franczak,FRANCZAK Paweł,PL
127,jesus-herrada-lopez,HERRADA Jesús,ES
128,adrian-banaszek,BANASZEK Adrian,PL
139,daniil-fominykh,FOMINYKH Daniil,KZ
143,norbert-banaszek,BANASZEK Norbert,PL
147,manuel-senni,SENNI Manuel,IT
156,julian-david-arredondo,ARREDONDO Julián David,CO
161,max-walscheid,WALSCHEID Max,DE
162,andrea-guardini,GUARDINI Andrea,IT
165,jonas-tenbrock,TENBROCK Jonas,DE
170,alex-dowsett,DOWSETT Alex,GB
172,jonas-koch,KOCH Jonas,DE
173,stanislaw-aniolkowski,ANIOŁKOWSKI Stanisław,PL
16,samuel-dumoulin,DUMOULIN Samuel,FR
58,simone-velasco,VELASCO Simone,IT
61,jonathan-fumeaux,FUMEAUX Jonathan,CH
65,edoardo-zardini,ZARDINI Edoardo,IT
66,thomas-degand,DEGAND Thomas,BE
80,thierry-hupond,HUPOND Thierry,FR
83,lukasz-wisniowski,WIŚNIOWSKI Łukasz,PL
103,amael-moinard,MOINARD Amaël,FR
107,carlos-verona,VERONA Carlos,ES
118,eduardo-sepulveda,SEPÚLVEDA Eduardo,AR
120,arnaud-gerard,GÉRARD Arnaud,FR
125,jan-hirt,HIRT Jan,CZ
136,felix-grossschartner,GROßSCHARTNER Felix,AT
137,branislau-samoilau,SAMOILAU Branislau,BY
150,ruben-plaza,PLAZA Rubén,ES
155,dmitry-kozonchuk,KOZONTCHUK Dmitry,RU
164,johann-van-zyl,VAN ZYL Johann,ZA
180,philip-deignan,DEIGNAN Philip,IE
185,marc-soler,SOLER Marc,ES
198,asbjorn-kragh-andersen,KRAGH ANDERSEN Asbjørn,DK
16,guillaume-boivin,BOIVIN Guillaume,CA
32,bruno-langlois,LANGLOIS Bruno,CA
40,brent-bookwalter,BOOKWALTER Brent,US
43,david-drouin,DROUIN David,CA
53,andre-cardoso,CARDOSO André,PT
110,benjamin-perry,PERRY Benjamin,CA
125,jeremy-maison,MAISON Jérémy,FR
130,maxim-belkov,BELKOV Maxim,RU
158,nigel-ellsay,ELLSAY Nigel,CA
159,matteo-dal-cin,DAL-CIN Matteo,CA
160,alexander-cataford,CATAFORD Alexander,CA
161,nicolas-masbourian-parent,MASBOURIAN Nicolas,CA
163,adriano-malori,MALORI Adriano,IT
164,kris-boeckmans,BOECKMANS Kris,BE
0,johan-esteban-chaves,CHAVES Esteban,CO
12,rodolfo-andres-torres,TORRES Rodolfo Andrés,CO
15,matvey-mamykin,MAMYKIN Matvey,RU
17,darwin-atapuma,ATAPUMA Darwin,CO
22,sebastien-reichenbach,REICHENBACH Sébastien,CH
24,alessio-taliani,TALIANI Alessio,IT
44,pavel-kochetkov,KOCHETKOV Pavel,RU
45,yonder-godoy,GODOY Yonder,VE
55,andrei-solomennikov,SOLOMENNIKOV Andrei,RU
62,hubert-dupont,DUPONT Hubert,FR
76,genki-yamamoto,YAMAMOTO Genki,JP
77,iuri-filosi,FILOSI Iuri,IT
78,gianfranco-zilioli,ZILIOLI Gianfranco,IT
79,eduard-michael-grosu,GROSU Eduard-Michael,RO
81,anthony-perez,PEREZ Anthony,FR
86,rafael-andriato,ANDRIATO Rafael,BR
87,eugert-zhupa,ZHUPA Eugert,AL
90,cristian-rodriguez,RODRÍGUEZ Cristián,ES
96,damien-howson,HOWSON Damien,AU
99,robert-power,POWER Robert,AU
107,kristijan-durasek,ĐURASEK Kristijan,HR
110,julien-bernard,BERNARD Julien,FR
132,tobias-ludvigsson,LUDVIGSSON Tobias,SE
141,miguel-angel-lopez,LÓPEZ Miguel Ángel,CO
145,vasil-kiryienka,KIRYIENKA Vasil,BY
147,leopold-konig,KÖNIG Leopold,CZ
149,sergey-firsanov,FIRSANOV Sergey,RU
150,alexander-foliforov,FOLIFOROV Alexander,RU
151,evgeny-shalunov,SHALUNOV Evgeny,RU
152,alexandr-kolobnev,KOLOBNEV Alexandr,RU
153,aydar-zakarin,ZAKARIN Aydar,RU
154,artem-nych,NYCH Artem,RU
155,igor-boev,BOEV Igor,RU
167,gert-dockx,DOCKX Gert,BE
172,maxime-monfort,MONFORT Maxime,BE
182,marco-bandiera,BANDIERA Marco,IT
185,alberto-nardin,NARDIN Alberto,IT
186,daniele-ratto,RATTO Daniele,IT
189,francesco-manuel-bongiorno,BONGIORNO Francesco Manuel,IT
2,cameron-meyer,MEYER Cameron,AU
11,rafael-valls,VALLS Rafael,ES
13,lucas-hamilton,HAMILTON Lucas,AU
15,jai-hindley,HINDLEY Jai,AU
17,michael-storer,STORER Michael,AU
18,janier-alexis-acevedo,ACEVEDO Janier,CO
19,brendan-canty,CANTY Brendan,AU
24,baptiste-planckaert,PLANCKAERT Baptiste,BE
26,aaron-gate,GATE Aaron,NZ
28,james-shaw,SHAW James,GB
41,jonathan-clarke,CLARKE Jonathan,AU
43,lachlan-norris,NORRIS Lachlan,AU
45,jose-goncalves,GONÇALVES José,PT
54,cameron-bayley,BAYLY Cameron,AU
59,scott-bowden,BOWDEN Scott,AU
61,jeroen-meijers,MEIJERS Jeroen,NL
62,travis-mccabe,MCCABE Travis,US
63,michael-hepburn,HEPBURN Michael,AU
69,ben-o-connor,O'CONNOR Ben,AU
70,peter-koning,KONING Peter,NL
71,chris-hamilton,HAMILTON Chris,AU
76,alexander-porter,PORTER Alexander,AU
78,taco-van-der-hoorn,VAN DER HOORN Taco,NL
79,tim-ariesen,ARIESEN Tim,NL
82,sergey-nikolaev,NIKOLAEV Sergey,RU
83,francois-bidard,BIDARD François,FR
85,martijn-tusveld,TUSVELD Martijn,NL
86,conor-dunne,DUNNE Conor,IE
87,martin-velits,VELITS Martin,SK
89,lennard-hofstede,HOFSTEDE Lennard,NL
91,enric-mas,MAS Enric,ES
93,tanner-putt,PUTT Tanner,US
94,miles-scotson,SCOTSON Miles,AU
95,rohan-dennis,DENNIS Rohan,AU
97,lachlan-morton,MORTON Lachlan,AU
98,calvin-watson,WATSON Calvin,AU
99,ivan-savitskiy,SAVITSKIY Ivan,RU
100,artur-ershov,ERSHOV Artur,RU
105,adrian-hegyvary,HEGYVARY Adrian,US
106,gregory-henderson,HENDERSON Gregory,NZ
108,ruben-guerreiro,GUERREIRO Ruben,PT
115,pascal-ackermann,ACKERMANN Pascal,DE
119,kirill-sveshnikov,SVESHNIKOV Kirill,RU
124,william-clarke,CLARKE Will,AU
22,justin-jules,JULES Justin,FR
31,kevyn-ista,ISTA Kevyn,BE
42,brian-van-goethem,VAN GOETHEM Brian,NL
61,jimmy-turgis,TURGIS Jimmy,FR
62,christoph-pfingsten,PFINGSTEN Christoph,DE
66,thomas-sprengers,SPRENGERS Thomas,BE
73,olivier-pardini,PARDINI Olivier,BE
88,lawrence-naesen,NAESEN Lawrence,BE
89,sander-cordeel,CORDEEL Sander,BE
90,ivan-garcia-cortina,GARCÍA CORTINA Iván,ES
94,maxime-vantomme,VANTOMME Maxime,BE
96,yves-lampaert,LAMPAERT Yves,BE
114,thomas-scully,SCULLY Tom,NZ
115,pierre-luc-perichon,PÉRICHON Pierre-Luc,FR
117,julien-duval,DUVAL Julien,FR
121,erwann-corbel,CORBEL Erwann,FR
133,marc-fournier,FOURNIER Marc,FR
141,jenthe-biermans,BIERMANS Jenthe,BE
153,truls-korsaeth,KORSÆTH Truls Engen,NO
159,kevin-deltombe,DELTOMBE Kevin,BE
160,edward-planckaert,PLANCKAERT Edward,BE
161,aime-de-gendt,DE GENDT Aimé,BE
162,julien-stassen,STASSEN Julien,BE
163,alex-kirsch,KIRSCH Alex,LU
164,lukas-spengler,SPENGLER Lukas,CH
168,dries-de-bondt,DE BONDT Dries,BE
171,stef-van-zummeren,VAN ZUMMEREN Stef,BE
172,christophe-premont,PREMONT Christophe,BE
177,coen-vermeltfoort,VERMELTFOORT Coen,NL
179,jens-mouris,MOURIS Jens,NL
181,tyler-williams,WILLIAMS Tyler,US
182,aviv-yechezkel,YECHEZKEL Aviv,IL
184,mihkel-raim,RÄIM Mihkel,EE
185,hamish-schreurs,SCHREURS Hamish,NZ
186,jon-ander-insausti,INSAUSTI Jon Ander,ES
188,antonio-nibali,NIBALI Antonio,IT
190,domen-novak,NOVAK Domen,SI
191,david-per,PER David,SI
198,elmar-reinders,REINDERS Elmar,NL
8,thibaut-pinot,PINOT Thibaut,FR
17,ondrej-cink,CINK Ondřej,CZ
34,primoz-roglic,ROGLIČ Primož,SI
36,tao-geoghegan-hart,GEOGHEGAN HART Tao,GB
50,nans-peters,PETERS Nans,FR
54,marco-canola,CANOLA Marco,IT
57,richard-carapaz,CARAPAZ Richard,EC
64,mattia-frapporti,FRAPPORTI Mattia,IT
71,fausto-masnada,MASNADA Fausto,IT
81,ivan-santaromita,SANTAROMITA Ivan,IT
88,raffaello-bonusi,BONUSI Raffaello,IT
95,nicola-bagioli,BAGIOLI Nicola,IT
96,kohei-uchima,UCHIMA Kohei,JP
106,alexander-edmondson,EDMONDSON Alex,AU
107,marco-mathis,MATHIS Marco,DE
109,mads-wurtz-schmidt,WÜRTZ SCHMIDT Mads,DK
110,edward-ravasi,RAVASI Edward,IT
112,oliviero-troia,TROIA Oliviero,IT
125,ariel-maximiliano-richeze,RICHEZE Maximiliano,AR
139,owain-doull,DOULL Owain,GB
140,ian-boswell,BOSWELL Ian,US
145,nuno-bico,BICO Nuno,PT
150,davide-ballerini,BALLERINI Davide,IT
151,marco-benfatto,BENFATTO Marco,IT
152,ivan-ramiro-sosa,SOSA Iván Ramiro,CO
153,luca-pacioni,PACIONI Luca,IT
156,luca-wackermann,WACKERMANN Luca,IT
167,andrea-vendrame,VENDRAME Andrea,IT
59,matteo-busato,BUSATO Matteo,IT
89,jacopo-mosca,MOSCA Jacopo,IT
148,hector-carretero,CARRETERO Héctor,ES
157,andrea-palini,PALINI Andrea,IT
182,fabio-calabria,CALABRIA Fabio,AU
189,rik-van-ijzendoorn,VAN IJZENDOORN Rik,NL
191,umberto-poli,POLI Umberto,IT
192,roman-maikin,MAIKIN Roman,RU
194,brian-kamstra,KAMSTRA Brian,NL
195,hideto-nakane,NAKANE Hideto,JP
40,rudy-barbier,BARBIER Rudy,FR
59,kenneth-van-rooy,VAN ROOY Kenneth,BE
91,simone-consonni,CONSONNI Simone,IT
121,krists-neilands,NEILANDS Krists,LV
123,daniel-turek,TUREK Daniel,CZ
139,amund-grondahl-jansen,JANSEN Amund Grøndahl,NO
146,tom-bohli,BOHLI Tom,CH
148,riccardo-minali,MINALI Riccardo,IT
168,lorrenzo-manzin,MANZIN Lorrenzo,FR
180,thomas-deruette,DERUETTE Thomas,BE
181,ludwig-de-winter,DE WINTER Ludwig,BE
187,aidis-kruopis,KRUOPIS Aidis,LT
188,elias-van-breussegem,VAN BREUSSEGEM Elias,BE
189,timothy-dupont,DUPONT Timothy,BE
190,michael-goolaerts,GOOLAERTS Michael,BE
192,guy-sagiv,SAGIV Guy,IL
73,andrea-pasqualon,PASQUALON Andrea,IT
110,christophe-masson,MASSON Christophe,FR
135,filippo-ganna,GANNA Filippo,IT
158,jonathan-dibben,DIBBEN Jonathan,GB
167,jimmy-duquennoy,DUQUENNOY Jimmy,BE
62,alex-turrin,TURRIN Alex,IT
87,dion-smith,SMITH Dion,NZ
135,liam-bertazzo,BERTAZZO Liam,IT
159,zhandos-bizhigitov,BIZHIGITOV Zhandos,KZ
195,meiyin-wang,WANG Meiyin,CN
16,piet-allegaert,ALLEGAERT Piet,BE
153,ryan-gibbons,GIBBONS Ryan,ZA
173,benjamin-declercq,DECLERCQ Benjamin,BE
191,romain-lemarchand,LEMARCHAND Romain,FR
50,xandro-meurisse,MEURISSE Xandro,BE
58,jonathan-hivert,HIVERT Jonathan,FR
77,martijn-budding,BUDDING Martijn,NL
88,jan-tratnik,TRATNIK Jan,SI
89,jakub-kaczmarek,KACZMAREK Jakub,PL
104,maximilian-schachmann,SCHACHMANN Maximilian,DE
115,nikita-stalnov,STALNOV Nikita,KZ
116,arnaud-courteille,COURTEILLE Arnaud,FR
119,oscar-riesebeek,RIESEBEEK Oscar,NL
132,frantisek-sisr,SISR František,CZ
133,paul-ourselin,OURSELIN Paul,FR
148,gregory-daniel,DANIEL Gregory,US
175,remy-mertz,MERTZ Rémy,BE
180,vincenzo-albanese,ALBANESE Vincenzo,IT
182,marco-maronese,MARONESE Marco,IT
187,yukiya-arashiro,ARASHIRO Yukiya,JP
8,david-gaudu,GAUDU David,FR
34,elie-gesbert,GESBERT Élie,FR
81,dimitri-peyskens,PEYSKENS Dimitri,BE
94,antoine-warnier,WARNIER Antoine,BE
96,bryan-nauleau,NAULEAU Bryan,FR
98,sebastien-delfosse,DELFOSSE Sébastien,BE
119,mark-christian,CHRISTIAN Mark,GB
130,tsgabu-gebremaryam-grmay,GRMAY Tsgabu,ET
149,gregory-habeaux,HABEAUX Grégory,BE
156,romain-guillemois,GUILLEMOIS Romain,FR
183,ruben-pols,POLS Ruben,BE
187,fabien-doubey,DOUBEY Fabien,FR
196,daniel-pearson,PEARSON Daniel,GB
181,ludovic-robeet,ROBEET Ludovic,BE
192,etienne-van-empel,VAN EMPEL Etienne,NL
83,yousef-mohamed-mirza,MIRZA Yousif,AE
93,daan-olivier,OLIVIER Daan,NL
114,guillaume-levarlet,LEVARLET Guillaume,FR
126,georg-zimmermann,ZIMMERMANN Georg,DE
127,jonas-rapp,RAPP Jonas,DE
128,nikodemus-holler,HOLLER Nikodemus,DE
129,georg-loef,LOEF Georg,DE
131,raphael-freienstein,FREIENSTEIN Raphael,DE
132,carl-soballa,SOBALLA Carl,DE
133,christopher-hatz,HATZ Christopher,DE
142,enzo-wouters,WOUTERS Enzo,BE
152,martyn-irvine,IRVINE Martyn,IE
37,jose-herrada,HERRADA José,ES
41,janez-brajkovic,BRAJKOVIČ Janez,SI
78,artyom-zakharov,ZAKHAROV Artyom,KZ
93,nick-schultz,SCHULTZ Nick,AU
95,hector-saez,SÁEZ Héctor,ES
96,rafael-reis,REIS Rafael,PT
97,eduard-prades,PRADES Eduard,ES
98,mathias-le-turnier,LE TURNIER Mathias,FR
102,leo-vincent,VINCENT Léo,FR
141,silvio-herklotz,HERKLOTZ Silvio,DE
146,benat-intxausti,INTXAUSTI Beñat,ES
156,andrew-talansky,TALANSKY Andrew,US
24,jonathan-lastra,LASTRA Jonathan,ES
41,fabricio-ferrari,FERRARI Fabricio,UY
45,jon-irisarri,IRISARRI Jon,ES
85,jose-manuel-diaz-gallego,DÍAZ José Manuel,ES
91,josu-zabala,ZABALA Josu,ES
92,dylan-page,PAGE Dylan,CH
99,mateusz-taciak,TACIAK Mateusz,PL
107,nathan-van-hooydonck,VAN HOOYDONCK Nathan,BE
109,alberto-cecchin,CECCHIN Alberto,IT
116,jason-lowndes,LOWNDES Jason,AU
120,piotr-brozyna,BROŻYNA Piotr,PL
141,roy-goldstein,GOLDSTEIN Roy,IL
142,matteo-malucelli,MALUCELLI Matteo,IT
44,remi-cavagna,CAVAGNA Rémi,FR
92,dorian-godon,GODON Dorian,FR
148,martijn-keizer,KEIZER Martijn,NL
157,kamil-malecki,MAŁECKI Kamil,PL
34,mauro-finetto,FINETTO Mauro,IT
78,pierre-rolland,ROLLAND Pierre,FR
97,clement-venturini,VENTURINI Clément,FR
76,jack-burke,BURKE Jack,CA
129,bakhtiyar-kozhatayev,KOZHATAYEV Bakhtiyar,KZ
153,marc-antoine-soucy,SOUCY Marc-antoine,CA
154,alexander-cowan,COWAN Alexander,CA
155,pier-andre-cote,COTÉ Pier-André,CA
8,nairo-quintana,QUINTANA Nairo,CO
12,egan-bernal,BERNAL Egan,CO
93,alessandro-bisolti,BISOLTI Alessandro,IT
108,marino-kobayashi,KOBAYASHI Marino,JP
122,miguel-eduardo-florez,FLÓREZ Miguel Eduardo,CO
170,ildar-arslanov,ARSLANOV Ildar,RU
188,simone-sterbini,STERBINI Simone,IT
31,wout-van-aert,VAN AERT Wout,BE
36,patrick-muller,MÜLLER Patrick,CH
103,bram-welten,WELTEN Bram,NL
106,michael-carbel,CARBEL Michael,DK
120,alexandr-riabushenko,RIABUSHENKO Alexandr,BY
144,christopher-lawless,LAWLESS Chris,GB
156,senne-leysen,LEYSEN Senne,BE
171,logan-owen,OWEN Logan,US
19,valentin-madouas,MADOUAS Valentin,FR
52,sepp-kuss,KUSS Sepp,US
54,sho-hatsuyama,HATSUYAMA Sho,JP
56,damiano-cima,CIMA Damiano,IT
57,marco-tizza,TIZZA Marco,IT
80,joan-bou,BOU Joan,ES
84,bruno-armirail,ARMIRAIL Bruno,FR
114,lennard-kamna,KÄMNA Lennard,DE
121,leonardo-basso,BASSO Leonardo,IT
127,mathias-de-witte,DE WITTE Mathias,BE
135,kevin-rivera,RIVERA Kevin,CR
137,matteo-spreafico,SPREAFICO Matteo,IT
140,mark-padun,PADUN Mark,UA
145,kim-magnusson,MAGNUSSON Kim,SE
44,august-jensen,JENSEN August,NO
82,neilson-powless,POWLESS Neilson,US
97,giovanni-carboni,CARBONI Giovanni,IT
100,aleksandr-vlasov,VLASOV Aleksandr,RU
132,stepan-kurianov,KURIANOV Stepan,RU
135,sam-brand,BRAND Sam,GB
146,nikolay-cherkasov,CHERKASOV Nikolay,RU
163,evgeny-kobernyak,KOBERNYAK Evgeny,RU
11,jan-willem-van-schip,VAN SCHIP Jan-Willem,NL
56,jeremy-lecroq,LECROQ Jérémy,FR
62,christophe-noppe,NOPPE Christophe,BE
108,tanguy-turgis,TURGIS Tanguy,FR
122,kristoffer-halvorsen,HALVORSEN Kristoffer,NO
162,jordi-warlop,WARLOP Jordi,BE
88,milan-menten,MENTEN Milan,BE
89,casper-pedersen,PEDERSEN Casper,DK
100,alvaro-jose-hodeg,HODEG Álvaro José,CO
123,simon-sellier,SELLIER Simon,FR
144,aaron-verwilst,VERWILST Aaron,BE
129,pascal-eenkhoorn,EENKHOORN Pascal,NL
147,julien-mortier,MORTIER Julien,BE
97,julien-trarieux,TRARIEUX Julien,FR
169,brenton-jones,JONES Brenton,AU
172,przemyslaw-kasperkiewicz,KASPERKIEWICZ Przemysław,PL
173,corentin-ermenault,ERMENAULT Corentin,FR
174,adrien-garel,GAREL Adrien,FR
47,benoit-cosnefroy,COSNEFROY Benoît,FR
81,edward-irl-dunbar,DUNBAR Eddie,IE
96,scott-davies,DAVIES Scott,GB
105,romain-seigle,SEIGLE Romain,FR
111,willie-smit,SMIT Willie,ZA
112,steff-cras,CRAS Steff,BE
120,amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,ER
172,justin-mottier,MOTTIER Justin,FR
54,hermann-pernsteiner,PERNSTEINER Hermann,AT
70,bjorg-lambrecht,LAMBRECHT Bjorg,BE
110,kilian-frankiny,FRANKINY Kilian,CH
122,matteo-fabbro,FABBRO Matteo,IT
131,nickolas-dlamini,DLAMINI Nic,ZA
133,james-knox,KNOX James,GB
144,mathias-van-gompel,VAN GOMPEL Mathias,BE
163,lucas-de-rossi,DE ROSSI Lucas,FR
167,john-anderson-rodriguez,RODRÍGUEZ Jhon Anderson,CO
34,amaro-manuel-antunes,ANTUNES Amaro,PT
47,michal-schlegel,SCHLEGEL Michal,CZ
87,pawel-cieslik,CIEŚLIK Paweł,PL
89,fabio-jakobsen,JAKOBSEN Fabio,NL
95,yevgeniy-gidich,GIDICH Yevgeniy,KZ
120,alex-frame,FRAME Alex,NZ
21,alex-aranburu,ARANBURU Alex,ES
46,jesus-ezquerra-muela,EZQUERRA Jesús,ES
47,mikel-iturria,ITURRIA Mikel,ES
48,jhonatan-narvaez,NARVÁEZ Jhonatan,EC
53,jetse-bol,BOL Jetse,NL
66,cyril-barthe,BARTHE Cyril,FR
68,sergio-rodriguez,RODRÍGUEZ Sergio,ES
77,kasper-asgreen,ASGREEN Kasper,DK
80,pablo-torres,TORRES Pablo,ES
91,jorge-cubero,CUBERO Jorge,ES
92,diego-rubio,RUBIO Diego,ES
94,nelson-soto,SOTO Nelson Andrés,CO
139,julen-irizar,IRIZAR Julen,ES
140,garikoitz-bravo,BRAVO Garikoitz,ES
141,mikel-bizkarra,BIZKARRA Mikel,ES
142,aritz-bagues,BAGÜES Aritz,ES
21,arjen-livyns,LIVYNS Arjen,BE
43,sergey-shilov,SHILOV Sergey,RU
104,stan-godrie,GODRIE Stan,NL
84,clement-russo,RUSSO Clément,FR
95,luca-raggio,RAGGIO Luca,IT
159,julius-van-den-berg,VAN DEN BERG Julius,NL
165,jeremy-leveau,LEVEAU Jérémy,FR
23,brandon-mcnulty,MCNULTY Brandon,US
40,james-piccoli,PICCOLI James,CA
61,jaime-castrillo,CASTRILLO Jaime,ES
76,robin-carpenter,CARPENTER Robin,US
99,rob-britton,BRITTON Rob,CA
100,adam-roberge,ROBERGE Adam,CA
104,harm-vanhoucke,VANHOUCKE Harm,BE
105,nathan-earle,EARLE Nathan,AU
120,adam-de-vos,DE VOS Adam,CA
121,colin-joyce,JOYCE Colin,US
138,edward-walsh,WALSH Edward,CA
139,nickolas-zukowsky,ZUKOWSKY Nickolas,CA
143,joe-dombrowski,DOMBROWSKI Joe,US
129,charlesetienne-chretien,CHRÉTIEN Charles-Étienne,CA
136,guy-niv,NIV Guy,IL
36,nicola-conci,CONCI Nicola,IT
57,sebastian-schonberger,SCHÖNBERGER Sebastian,AT
108,romain-le-roux,LE ROUX Romain,FR
109,filippo-zaccanti,ZACCANTI Filippo,IT
128,niklas-eg,EG Niklas,DK
154,omer-goldstein,GOLDSTEIN Omer,IL
156,awet-gebremedhin-andemeskel,GEBREMEDHIN Awet,SE
163,umberto-orsini,ORSINI Umberto,IT
21,dylan-sunderland,SUNDERLAND Dylan,AU
35,pavel-sivakov,SIVAKOV Pavel,RU
43,tadej-pogacar,POGAČAR Tadej,SI
44,jasper-philipsen,PHILIPSEN Jasper,BE
45,cees-bol,BOL Cees,NL
47,szymon-sajnok,SAJNOK Szymon,PL
52,carl-fredrik-hagen,HAGEN Carl Fredrik,NO
55,ayden-toovey,TOOVEY Ayden,AU
58,michael-freiberg,FREIBERG Michael,AU
65,nicholas-white2,WHITE Nicholas,AU
71,james-whelan,WHELAN James,AU
72,harry-sweeny,SWEENY Harry,AU
73,robert-stannard,STANNARD Robert,AU
75,jonas-gregaard,GREGAARD Jonas,DK
79,mikkel-honore,HONORÉ Mikkel Frølich,DK
96,dmitry-strakhov,STRAKHOV Dmitry,RU
97,nathan-elliott,ELLIOTT Nathan,AU
100,ivo-emanuel-alves,OLIVEIRA Ivo,PT
105,max-kanter,KANTER Max,DE
108,carter-turnbull,TURNBULL Carter,AU
73,damien-touze,TOUZÉ Damien,FR
75,jimmy-janssens,JANSSENS Jimmy,BE
99,emils-liepins,LIEPIŅŠ Emīls,LV
109,lionel-taminiaux,TAMINIAUX Lionel,BE
111,marcel-meisen,MEISEN Marcel,DE
112,maarten-van-trijp,VAN TRIJP Maarten,NL
113,joeri-stallaert,STALLAERT Joeri,BE
122,edoardo-affini,AFFINI Edoardo,IT
127,harry-tanfield,TANFIELD Harry,GB
130,juan-sebastian-molano,MOLANO Juan Sebastián,CO
139,rasmus-tiller,TILLER Rasmus,NO
157,tom-wirtgen,WIRTGEN Tom,LU
60,jonathan-klever-caicedo,CAICEDO Jonathan Klever,EC
72,marc-hirschi,HIRSCHI Marc,CH
81,andrea-garosio,GAROSIO Andrea,IT
83,giovanni-lonardi,LONARDI Giovanni,IT
116,callum-scotson,SCOTSON Callum,AU
123,matteo-moschetti,MOSCHETTI Matteo,IT
125,gino-mader,MÄDER Gino,CH
140,sean-bennett,BENNETT Sean,US
143,maxime-cam,CAM Maxime,FR
76,umberto-marengo,MARENGO Umberto,IT
140,peter-kusztor,KUSZTOR Péter,HU
166,alessandro-pessot,PESSOT Alessandro,IT
15,aksel-nommela,NÕMMELA Aksel,EE
72,pawel-bernas,BERNAS Paweł,PL
80,justin-timmermans,TIMMERMANS Justin,NL
85,mathieu-burgaudeau,BURGAUDEAU Mathieu,FR
86,florian-stork,STORK Florian,DE
96,stan-dewulf,DEWULF Stan,BE
