race_name,year,stage_race
tour-de-suisse,2020,True
san-sebastian,2020,False
strade-bianche,2020,False
tour-de-pologne,2020,True
milano-sanremo,2020,False
dauphine,2020,True
il-lombardia,2020,False
ride-london-classic,2020,False
bretagne-classic,2020,False
tour-de-france,2020,True
tirreno-adriatico,2020,True
gp-quebec,2020,False
gp-montreal,2020,False
benelux-tour,2020,True
la-fleche-wallone,2020,False
cyclassics-hamburg,2020,False
giro-d-italia,2020,True
liege-bastogne-liege,2020,False
amstel-gold-race,2020,False
gent-wevelgem,2020,False
dwars-door-vlaanderen,2020,False
ronde-van-vlaanderen,2020,False
vuelta-a-espana,2020,True
oxyclean-classic-brugge-de-panne,2020,False
paris-roubaix,2020,False
tour-of-guangxi,2020,True
tour-down-under,2021,True
great-ocean-race,2021,False
uae-tour,2021,True
omloop-het-nieuwsblad,2021,False
strade-bianche,2021,False
paris-nice,2021,True
tirreno-adriatico,2021,True
milano-sanremo,2021,False
volta-a-catalunya,2021,True
oxyclean-classic-brugge-de-panne,2021,False
e3-harelbeke,2021,False
gent-wevelgem,2021,False
dwars-door-vlaanderen,2021,False
ronde-van-vlaanderen,2021,False
itzulia-basque-country,2021,True
amstel-gold-race,2021,False
la-fleche-wallone,2021,False
liege-bastogne-liege,2021,False
tour-de-romandie,2021,True
giro-d-italia,2021,True
dauphine,2021,True
tour-de-suisse,2021,True
tour-de-france,2021,True
san-sebastian,2021,False
tour-de-pologne,2021,True
vuelta-a-espana,2021,True
cyclassics-hamburg,2021,False
bretagne-classic,2021,False
benelux-tour,2021,True
gp-quebec,2021,False
gp-montreal,2021,False
eschborn-frankfurt,2021,False
paris-roubaix,2021,False
il-lombardia,2021,False
tour-of-guangxi,2021,True
tour-down-under,2022,True
great-ocean-race,2022,False
uae-tour,2022,True
omloop-het-nieuwsblad,2022,False
strade-bianche,2022,False
paris-nice,2022,True
tirreno-adriatico,2022,True
milano-sanremo,2022,False
volta-a-catalunya,2022,True
oxyclean-classic-brugge-de-panne,2022,False
e3-harelbeke,2022,False
gent-wevelgem,2022,False
dwars-door-vlaanderen,2022,False
ronde-van-vlaanderen,2022,False
itzulia-basque-country,2022,True
amstel-gold-race,2022,False
paris-roubaix,2022,False
la-fleche-wallone,2022,False
liege-bastogne-liege,2022,False
tour-de-romandie,2022,True
eschborn-frankfurt,2022,False
giro-d-italia,2022,True
dauphine,2022,True
tour-de-suisse,2022,True
tour-de-france,2022,True
san-sebastian,2022,False
tour-de-pologne,2022,True
vuelta-a-espana,2022,True
cyclassics-hamburg,2022,False
bretagne-classic,2022,False
benelux-tour,2022,True
gp-quebec,2022,False
gp-montreal,2022,False
il-lombardia,2022,False
tour-of-guangxi,2022,True
