race_name,year,stage_race,race_url
milano-sanremo,2017,False,race/milano-sanremo/2017
volta-a-catalunya,2017,True,race/volta-a-catalunya/2017
dwars-door-vlaanderen,2017,False,race/dwars-door-vlaanderen/2017
e3-harelbeke,2017,False,race/e3-harelbeke/2017
gent-wevelgem,2017,False,race/gent-wevelgem/2017
ronde-van-vlaanderen,2017,False,race/ronde-van-vlaanderen/2017
itzulia-basque-country,2017,True,race/itzulia-basque-country/2017
paris-roubaix,2017,False,race/paris-roubaix/2017
amstel-gold-race,2017,False,race/amstel-gold-race/2017
la-fleche-wallone,2017,False,race/la-fleche-wallone/2017
liege-bastogne-liege,2017,False,race/liege-bastogne-liege/2017
tour-de-romandie,2017,True,race/tour-de-romandie/2017
eschborn-frankfurt,2017,False,race/eschborn-frankfurt/2017
giro-d-italia,2017,True,race/giro-d-italia/2017
tour-of-california,2017,True,race/tour-of-california/2017
dauphine,2017,True,race/dauphine/2017
tour-de-suisse,2017,True,race/tour-de-suisse/2017
tour-de-france,2017,True,race/tour-de-france/2017
san-sebastian,2017,False,race/san-sebastian/2017
tour-de-pologne,2017,True,race/tour-de-pologne/2017
ride-london-classic,2017,False,race/ride-london-classic/2017
benelux-tour,2017,True,race/benelux-tour/2017
vuelta-a-espana,2017,True,race/vuelta-a-espana/2017
cyclassics-hamburg,2017,False,race/cyclassics-hamburg/2017
bretagne-classic,2017,False,race/bretagne-classic/2017
gp-quebec,2017,False,race/gp-quebec/2017
gp-montreal,2017,False,race/gp-montreal/2017
il-lombardia,2017,False,race/il-lombardia/2017
tour-of-turkey,2017,True,race/tour-of-turkey/2017
tour-of-guangxi,2017,True,race/tour-of-guangxi/2017
tour-down-under,2018,True,race/tour-down-under/2018
great-ocean-race,2018,False,race/great-ocean-race/2018
abu-dhabi-tour,2018,True,race/abu-dhabi-tour/2018
omloop-het-nieuwsblad,2018,False,race/omloop-het-nieuwsblad/2018
strade-bianche,2018,False,race/strade-bianche/2018
paris-nice,2018,True,race/paris-nice/2018
tirreno-adriatico,2018,True,race/tirreno-adriatico/2018
milano-sanremo,2018,False,race/milano-sanremo/2018
volta-a-catalunya,2018,True,race/volta-a-catalunya/2018
e3-harelbeke,2018,False,race/e3-harelbeke/2018
gent-wevelgem,2018,False,race/gent-wevelgem/2018
dwars-door-vlaanderen,2018,False,race/dwars-door-vlaanderen/2018
ronde-van-vlaanderen,2018,False,race/ronde-van-vlaanderen/2018
itzulia-basque-country,2018,True,race/itzulia-basque-country/2018
paris-roubaix,2018,False,race/paris-roubaix/2018
amstel-gold-race,2018,False,race/amstel-gold-race/2018
la-fleche-wallone,2018,False,race/la-fleche-wallone/2018
liege-bastogne-liege,2018,False,race/liege-bastogne-liege/2018
tour-de-romandie,2018,True,race/tour-de-romandie/2018
eschborn-frankfurt,2018,False,race/eschborn-frankfurt/2018
giro-d-italia,2018,True,race/giro-d-italia/2018
tour-of-california,2018,True,race/tour-of-california/2018
dauphine,2018,True,race/dauphine/2018
tour-de-suisse,2018,True,race/tour-de-suisse/2018
tour-de-france,2018,True,race/tour-de-france/2018
ride-london-classic,2018,False,race/ride-london-classic/2018
san-sebastian,2018,False,race/san-sebastian/2018
tour-de-pologne,2018,True,race/tour-de-pologne/2018
benelux-tour,2018,True,race/benelux-tour/2018
cyclassics-hamburg,2018,False,race/cyclassics-hamburg/2018
vuelta-a-espana,2018,True,race/vuelta-a-espana/2018
bretagne-classic,2018,False,race/bretagne-classic/2018
gp-quebec,2018,False,race/gp-quebec/2018
gp-montreal,2018,False,race/gp-montreal/2018
tour-of-turkey,2018,True,race/tour-of-turkey/2018
il-lombardia,2018,False,race/il-lombardia/2018
tour-of-guangxi,2018,True,race/tour-of-guangxi/2018
tour-down-under,2019,True,race/tour-down-under/2019
great-ocean-race,2019,False,race/great-ocean-race/2019
uae-tour,2019,True,race/uae-tour/2019
omloop-het-nieuwsblad,2019,False,race/omloop-het-nieuwsblad/2019
strade-bianche,2019,False,race/strade-bianche/2019
paris-nice,2019,True,race/paris-nice/2019
tirreno-adriatico,2019,True,race/tirreno-adriatico/2019
milano-sanremo,2019,False,race/milano-sanremo/2019
volta-a-catalunya,2019,True,race/volta-a-catalunya/2019
oxyclean-classic-brugge-de-panne,2019,False,race/oxyclean-classic-brugge-de-panne/2019
e3-harelbeke,2019,False,race/e3-harelbeke/2019
gent-wevelgem,2019,False,race/gent-wevelgem/2019
dwars-door-vlaanderen,2019,False,race/dwars-door-vlaanderen/2019
ronde-van-vlaanderen,2019,False,race/ronde-van-vlaanderen/2019
itzulia-basque-country,2019,True,race/itzulia-basque-country/2019
paris-roubaix,2019,False,race/paris-roubaix/2019
tour-of-turkey,2019,True,race/tour-of-turkey/2019
