rank,rider,team,time,cq_points,race_id
11.0,BARCELO ARAGON Fernando,CJR,,10,39294
12.0,THOMAS Benjamin,COF,,9,39294
13.0,CHAMPOUSSIN Clément,ACT,,8,39294
14.0,HOULE Hugo,IPT,,7,39294
15.0,GUERNALEC Thibault,ARK,,6,39294
16.0,MAURELET Flavien,AUB,,5,39294
17.0,CALMEJANE Lilian,ACT,,5,39294
18.0,GILBERT Philippe,LTS,,5,39294
19.0,SKUJINS Toms,TFS,,5,39294
20.0,MERTZ Rémy,BWB,,5,39294
21.0,WIRTGEN Luc,BWB,,0,39294
22.0,MARTIN Guillaume,COF,,0,39294
23.0,MOLLEMA Bauke,TFS,,0,39294
24.0,FERASSE Thibault,BBK,,0,39294
25.0,MARQUEZ ROMAN Marti,EKP,,0,39294
26.0,ROCHAS Rémy,COF,,0,39294
27.0,JOHANNESSEN Tobias Halland,UXT,,0,39294
28.0,PACHER Quentin,GFC,,0,39294
29.0,VAN ROOY Kenneth,SVB,,0,39294
30.0,TILLER Rasmus Fossum,UXT,,0,39294
31.0,NICOLAU BELTRAN Joel,CJR,,0,39294
1.0,GUDMESTAD Tord,UXT,"2h43'01""",15,39295
2.0,ZANONCELLO Enrico,BCF,,10,39295
3.0,DALLA VALLE Nicolas,GTS,,8,39295
4.0,STASH Mamyr,VZR,,7,39295
5.0,ARCHIBOLD CASTILLO Franklin Erasmo,PCV,,6,39295
6.0,BONILLO MARTIN Iker,BCF,,5,39295
7.0,LETH (HANSEN) Lasse Norman,UXT,,4,39295
8.0,MIRALIYEV Sultanmurat,ALT,,3,39295
9.0,BOUGLAS Georgios,STC,,2,39295
10.0,FINATTI Davide,GTS,,1,39295
11.0,YILMAZ Yunus Emre,SUT,,0,39295
12.0,MARCHUK Dzianis,-,,0,39295
13.0,VASILYEV Maksym,EGS,,0,39295
14.0,AKÇAM Furkan,SBB,,0,39295
15.0,MARCELLUSI Martin,BCF,,0,39295
16.0,SMIRNOV Aleksandr,VZR,,0,39295
17.0,RAKHIMBAEV Behzodbek,TCM,,0,39295
18.0,DOGAN Halil Ibrahim,BAI,,0,39295
19.0,SHTEIN Iogan,ALT,,0,39295
20.0,NOVAKOVSKYI Vitaliy,EGS,,0,39295
1.0,MARTINELLI Alessio,BCF,"3h40'55""",15,39296
2.0,KULSET Sindre,UXT,,10,39296
3.0,BUDYAK Anatoliy,TSG,,8,39296
4.0,TONELLI Alessandro,BCF,,7,39296
5.0,MONACO Alessandro,GTS,"31""",6,39296
6.0,HOLTER Aadne,UXT,"55""",5,39296
7.0,LETH (HANSEN) Lasse Norman,UXT,"01'16""",4,39296
8.0,BLUME LEVY William,UXT,"01'16""",3,39296
9.0,GANDIN Stefano,COR,"01'16""",2,39296
10.0,STROKAU Vasili,MCC,"01'16""",1,39296
11.0,BROGI Adriano,GTS,"01'16""",0,39296
12.0,SOBAL Yauheni,MCC,"01'16""",0,39296
13.0,ARCHIBOLD CASTILLO Franklin Erasmo,PCV,"01'16""",0,39296
14.0,CHZHAN Igor,ALT,"01'20""",0,39296
15.0,DALLA VALLE Nicolas,GTS,"01'24""",0,39296
16.0,BOUGLAS Georgios,STC,"01'24""",0,39296
17.0,KARALIOK Yauheni,MCC,"01'24""",0,39296
18.0,BALKAN Onur,SBB,"01'24""",0,39296
19.0,ALBIN Vital,-,"01'24""",0,39296
20.0,BOCHAROV Dmitriy,TCM,"01'24""",0,39296
1.0,COVI Alessandro,UAD,"4h34'50""",80,39306
2.0,TRENTIN Matteo,UAD,"01""",48,39306
3.0,LOUVEL Matis,ARK,"01""",40,39306
4.0,KOCH Jonas,BOH,"01""",36,39306
5.0,VLIEGEN Loïc,IWG,"01""",32,39306
6.0,AULAR SANABRIA Orluis Alberto,CJR,"01""",28,39306
7.0,BARGUIL Warren,ARK,"01""",24,39306
8.0,FERASSE Thibault,BBK,"01""",20,39306
9.0,EZQUERRA MUELA Jesus,BBH,"01""",16,39306
10.0,TIZZA Marco,BWB,"01""",12,39306
11.0,HERRADA LOPEZ Jesus,COF,"01""",10,39306
12.0,GOOSSENS Kobe,IWG,"01""",9,39306
13.0,FORTUNATO Lorenzo,EOK,"04""",8,39306
14.0,STEINHAUSER Georg,EFE,"04""",7,39306
15.0,LASTRA MARTINEZ Jonathan,CJR,"04""",6,39306
16.0,WANDAHL Frederik,BOH,"05""",5,39306
17.0,ARDILA ORDOÑEZ Andres Camilo,UAD,"05""",5,39306
18.0,HINDLEY Jai,BOH,"27""",5,39306
19.0,GUERNALEC Thibault,ARK,"34""",5,39306
20.0,BRAET Vito,SVB,"55""",5,39306
21.0,APERS Ruben,SVB,"55""",0,39306
22.0,ALBANESE Vincenzo,EOK,"55""",0,39306
23.0,LIVYNS Arjen,BWB,"55""",0,39306
24.0,KANTER Max,MOV,"55""",0,39306
25.0,BAKELANTS Jan,IWG,"55""",0,39306
26.0,MERTZ Rémy,BWB,"55""",0,39306
27.0,LÜHRS Luis-Joe,BOH,"55""",0,39306
28.0,QUINN Sean,EFE,"55""",0,39306
29.0,BERCKMOES Jenno,SVB,"55""",0,39306
30.0,KING Benjamin,HPM,"55""",0,39306
31.0,HIVERT Jonathan,BBK,"55""",0,39306
1.0,KRISTOFF Alexander,IWG,"4h22'39""",130,39307
2.0,BOUHANNI Nacer,ARK,,78,39307
3.0,NIZZOLO Giacomo,IPT,,66,39307
4.0,ANIOLKOWSKI Stanislaw,BWB,,58,39307
5.0,MOLANO BENAVIDES Juan Sebastian,UAD,,52,39307
6.0,CONSONNI Simone,COF,,46,39307
7.0,VAN DEN BERG Marijn,EFE,,40,39307
8.0,HESTERS Jules,SVB,,34,39307
9.0,ALBANESE Vincenzo,EOK,,28,39307
10.0,KANTER Max,MOV,,24,39307
11.0,BONIFAZIO Niccolo,TEN,,20,39307
12.0,MARTINELLI Davide,AST,,18,39307
13.0,LÜHRS Luis-Joe,BOH,,16,39307
14.0,PELEGRI FERRANDIS Oscar,BBH,,14,39307
15.0,POLITT Nils,BOH,,12,39307
16.0,FRETIN Milan,SVB,,10,39307
17.0,MERTZ Rémy,BWB,,9,39307
18.0,GONZALEZ LOPEZ David,CJR,,8,39307
19.0,LOBATO DEL VALLE Juan Jose,EUS,,7,39307
20.0,SOTO GUIRAO Antonio Jesus,EUS,,6,39307
21.0,BASSETT Stephen,HPM,,5,39307
22.0,ZABEL Rick,IPT,,5,39307
23.0,JAIME FERNANDEZ Alex,EKP,,5,39307
24.0,TRENTIN Matteo,UAD,,5,39307
25.0,PETIT Adrien,IWG,,5,39307
26.0,JACOBS Johan,MOV,,5,39307
27.0,RANGEL COSTA Vinicius,MOV,,5,39307
28.0,RESTREPO VALENCIA Jhonatan,DRA,,5,39307
29.0,FEDOROV Yevgeniy,AST,,5,39307
30.0,EZQUERRA MUELA Jesus,BBH,,5,39307
31.0,AULAR SANABRIA Orluis Alberto,CJR,,0,39307
1.0,LUTSENKO Alexey,AST,"4h49'12""",80,39308
2.0,WELLENS Tim,LTS,"53""",48,39308
3.0,VLIEGEN Loïc,IWG,"57""",40,39308
4.0,KÄMNA Lennard,BOH,"01'16""",36,39308
5.0,SWIFT Connor,ARK,"01'28""",32,39308
6.0,HINDLEY Jai,BOH,"01'54""",28,39308
7.0,BARGUIL Warren,ARK,"01'54""",24,39308
8.0,CRAS Steff,LTS,"01'54""",20,39308
9.0,KRON Andreas Lorentz,LTS,"01'54""",16,39308
10.0,HIVERT Jonathan,BBK,"01'54""",12,39308
11.0,GUGLIELMI Simon,ARK,"01'59""",10,39308
12.0,GOOSSENS Kobe,IWG,"02'11""",9,39308
13.0,LASTRA MARTINEZ Jonathan,CJR,"02'11""",8,39308
14.0,QUINN Sean,EFE,"02'11""",7,39308
15.0,BUCHMANN Emanuel,BOH,"02'11""",6,39308
16.0,SERRANO RODRIGUEZ Gonzalo,MOV,"02'14""",5,39308
17.0,LOPEZ MORENO Miguel Angel,AST,"02'33""",5,39308
18.0,MATE MARDONES Luis Angel,EUS,"02'33""",5,39308
19.0,BAKELANTS Jan,IWG,"02'33""",5,39308
20.0,TIZZA Marco,BWB,"02'57""",5,39308
21.0,ADRIA OLIVERAS Roger,EKP,"03'23""",0,39308
22.0,LOUVEL Matis,ARK,"04'34""",0,39308
23.0,ARRIETA LIZARRAGA Igor,EKP,"05'21""",0,39308
24.0,NICOLAU BELTRAN Joel,CJR,"06'38""",0,39308
25.0,SCHLEGEL Michal,CJR,"06'38""",0,39308
26.0,FERASSE Thibault,BBK,"07'08""",0,39308
27.0,MERTZ Rémy,BWB,"07'08""",0,39308
28.0,MOLLY Kenny,BWB,"07'10""",0,39308
29.0,MADRAZO RUIZ Angel,BBH,"07'10""",0,39308
30.0,LIVYNS Arjen,BWB,"07'17""",0,39308
31.0,GARCIA PIERNA Raul,EKP,"07'29""",0,39308
1.0,CHZHAN Igor,ALT,"3h44'11""",15,39311
2.0,WEULINK Meindert,ABC,"32""",10,39311
3.0,KRETSCHY Moritz,RNR,"32""",8,39311
4.0,SAINBAYAR Jambaljamts,TSG,"34""",7,39311
5.0,KULIKOV Vladislav,VZR,"34""",6,39311
6.0,CHRISTEN Fabio,EFD,"34""",5,39311
7.0,BENZ Pirmin,RNR,"42""",4,39311
8.0,JURADO LOPEZ Christofer Robin,PCV,"46""",3,39311
9.0,MACLEOD Callum,ABC,"58""",2,39311
10.0,MARUKHIN Daniil,ALT,"58""",1,39311
11.0,HALMURATOV Muradjan,TCM,"58""",0,39311
12.0,SCHUCH Mike,ABC,"58""",0,39311
13.0,GANDIN Stefano,COR,"58""",0,39311
14.0,DOGAN Halil Ibrahim,BAI,"58""",0,39311
15.0,VILLANEDA Ethan,EFD,"58""",0,39311
16.0,SAYAR Mustafa,SBB,"01'03""",0,39311
17.0,MURGANO Marco,COR,"01'13""",0,39311
18.0,PIASETSKI Aliaksandr,-,"01'39""",0,39311
19.0,MONACO Alessandro,GTS,"01'39""",0,39311
20.0,EVTUSHENKO Aleksandr,-,"02'04""",0,39311
1.0,KARALIOK Yauheni,MCC,"3h19'01""",15,39312
2.0,SALEH Muhammad Harrif,TSG,,10,39312
3.0,BLOEM Joren,ABC,,8,39312
4.0,ROSTOVTSEV Sergey,VZR,,7,39312
5.0,SMIRNOV Aleksandr,VZR,,6,39312
6.0,BALKAN Onur,SBB,,5,39312
7.0,HAMZA Yacine,-,,4,39312
8.0,MIRALIYEV Sultanmurat,ALT,,3,39312
9.0,RAJOVIC Dusan,COR,,2,39312
10.0,DALLA VALLE Nicolas,GTS,,1,39312
11.0,FREDERIKSEN Oliver Wulff,EFD,,0,39312
12.0,HARAKHAVIK Uladzimir,-,,0,39312
13.0,NOVAKOVSKYI Vitaliy,EGS,,0,39312
14.0,VERBURG Luke,ABC,,0,39312
15.0,YILMAZ Yunus Emre,SUT,,0,39312
16.0,BOUGLAS Georgios,STC,,0,39312
17.0,GRIGORYAN Stepan,SUT,,0,39312
18.0,ZATCEPIN Sergey,TNV,,0,39312
19.0,FINATTI Davide,GTS,,0,39312
20.0,SEMENOV Alexandr,VSM,,0,39312
1.0,MCNULTY Brandon,UAD,"4h26'36""",130,39313
2.0,VANSEVENANT Mauri,QST,"45""",78,39313
3.0,KUSS Sepp,TJV,"45""",66,39313
4.0,KÄMNA Lennard,BOH,"01'33""",58,39313
5.0,MARTIN Guillaume,COF,"01'33""",52,39313
6.0,CHAMPOUSSIN Clément,ACT,"01'36""",46,39313
7.0,PACHER Quentin,GFC,"01'44""",40,39313
8.0,BARGUIL Warren,ARK,"01'44""",34,39313
9.0,CALMEJANE Lilian,ACT,"01'44""",28,39313
10.0,VUILLERMOZ Alexis,TEN,"01'44""",24,39313
11.0,ZIMMERMANN Georg,IWG,"01'44""",20,39313
12.0,KRON Andreas Lorentz,LTS,"01'44""",18,39313
13.0,BURGAUDEAU Mathieu,TEN,"01'44""",16,39313
14.0,AYUSO PESQUERA Juan,UAD,"01'44""",14,39313
15.0,ROTA Lorenzo,IWG,"01'44""",12,39313
16.0,ROCHAS Rémy,COF,"01'44""",10,39313
17.0,OLDANI Stefano,ADC,"01'44""",9,39313
18.0,MONIQUET Sylvain,LTS,"01'44""",8,39313
19.0,PARET-PEINTRE Aurélien,ACT,"01'44""",7,39313
20.0,GESBERT Elie,ARK,"01'44""",6,39313
21.0,REICHENBACH Sébastien,GFC,"01'44""",5,39313
22.0,LATOUR Pierre,TEN,"01'44""",5,39313
23.0,OOMEN Sam,TJV,"01'44""",5,39313
24.0,KELDERMAN Wilco,BOH,"01'44""",5,39313
25.0,ALAPHILIPPE Julian,QST,"01'44""",5,39313
26.0,ROGLIC Primoz,TJV,"01'44""",5,39313
27.0,VAN GILS Maxim,LTS,"01'57""",5,39313
28.0,MIFSUD Andréa,NMC,"02'12""",5,39313
29.0,DEVENYNS Dries,QST,"02'22""",5,39313
30.0,VANHOUCKE Harm,LTS,"03'34""",5,39313
31.0,TRAEEN Torstein,UXT,"03'53""",0,39313
1.0,VAN AERT Wout,TJV,"4h50'46""",180,39315
2.0,COLBRELLI Sonny,TBV,"22""",108,39315
3.0,VAN AVERMAET Greg,ACT,"22""",92,39315
4.0,NAESEN Oliver,ACT,"22""",78,39315
5.0,CAMPENAERTS Victor,LTS,"22""",70,39315
6.0,TILLER Rasmus Fossum,UXT,"22""",62,39315
7.0,TRENTIN Matteo,UAD,"22""",54,39315
8.0,PASQUALON Andrea,IWG,"22""",46,39315
9.0,SENECHAL Florian,QST,"22""",40,39315
10.0,STUYVEN Jasper,TFS,"22""",36,39315
11.0,CLARKE Simon,IPT,"25""",30,39315
12.0,KÜNG Stefan,GFC,"25""",27,39315
13.0,ARANBURU DEBA Alexander,MOV,"25""",24,39315
14.0,LOUVEL Matis,ARK,"25""",22,39315
15.0,KIRSCH Alex,TFS,"25""",20,39315
16.0,DOULL Owain,EFE,"25""",18,39315
17.0,MOHORIC Matej,TBV,"25""",16,39315
18.0,PIDCOCK Thomas,IGD,"27""",14,39315
19.0,LUDVIGSSON Tobias,GFC,"32""",12,39315
20.0,WRIGHT Fred,TBV,"42""",11,39315
21.0,HAYTER Ethan,IGD,"01'20""",10,39315
22.0,HAUSSLER Heinrich,TBV,"01'30""",9,39315
23.0,CAPIOT Amaury,ARK,"01'30""",8,39315
24.0,TEUNISSEN Mike,TJV,"01'30""",7,39315
25.0,VAN GESTEL Dries,TEN,"01'30""",6,39315
26.0,MOZZATO Luca,BBK,"01'30""",5,39315
27.0,POLITT Nils,BOH,"01'30""",5,39315
28.0,DVERSNES Fredrik,UXT,"01'30""",5,39315
29.0,LIVYNS Arjen,BWB,"01'30""",5,39315
30.0,GARCIA CORTINA Ivan,MOV,"01'30""",5,39315
31.0,DE BONDT Dries,ADC,"01'30""",5,39315
1.0,VINGEGAARD RASMUSSEN Jonas,TJV,"4h37'05""",130,39314
2.0,MARTIN Guillaume,COF,"03""",78,39314
3.0,COSNEFROY Benoît,ACT,"03""",66,39314
4.0,AYUSO PESQUERA Juan,UAD,"21""",58,39314
5.0,ALAPHILIPPE Julian,QST,"29""",52,39314
6.0,VUILLERMOZ Alexis,TEN,"34""",46,39314
7.0,GIRMAY HAILU Biniam,IWG,"36""",40,39314
8.0,OLDANI Stefano,ADC,"36""",34,39314
9.0,BARGUIL Warren,ARK,"36""",28,39314
10.0,BURGAUDEAU Mathieu,TEN,"38""",24,39314
11.0,PACHER Quentin,GFC,"38""",20,39314
12.0,REICHENBACH Sébastien,GFC,"38""",18,39314
13.0,GODON Dorian,ACT,"38""",16,39314
14.0,DE TIER Floris,ADC,"38""",14,39314
15.0,ULISSI Diego,UAD,"38""",12,39314
16.0,SIMMONS Quinn,TFS,"42""",10,39314
17.0,SIMON Julien,TEN,"42""",9,39314
18.0,ROTA Lorenzo,IWG,"42""",8,39314
19.0,LAFAY Victor,COF,"44""",7,39314
20.0,POLANC Jan,UAD,"44""",6,39314
21.0,KÄMNA Lennard,BOH,"46""",5,39314
22.0,GUGLIELMI Simon,ARK,"48""",5,39314
23.0,SCHMID Mauro,QST,"48""",5,39314
24.0,TRAEEN Torstein,UXT,"48""",5,39314
25.0,VAN GILS Maxim,LTS,"48""",5,39314
26.0,MIFSUD Andréa,NMC,"48""",5,39314
27.0,TEJADA CANACUE Harold Alfonso,AST,"48""",5,39314
28.0,ROGLIC Primoz,TJV,"53""",5,39314
29.0,MONIQUET Sylvain,LTS,"56""",5,39314
30.0,OOMEN Sam,TJV,"59""",5,39314
31.0,GROSS Felix,UAD,"01'01""",0,39314
1.0,JAKOBSEN Fabio,QST,"4h32'13""",130,39316
2.0,EWAN Caleb,LTS,,78,39316
3.0,HOFSTETTER Hugo,ARK,,66,39316
4.0,MCLAY Daniel,ARK,,58,39316
5.0,NIZZOLO Giacomo,IPT,,52,39316
6.0,VAN GESTEL Dries,TEN,,46,39316
7.0,CAPIOT Amaury,ARK,,40,39316
8.0,LAPORTE Christophe,TJV,,34,39316
9.0,TRENTIN Matteo,UAD,,28,39316
10.0,VAN DER HOORN Taco,IWG,,24,39316
11.0,KRISTOFF Alexander,IWG,,20,39316
