"Rider","Pro_year","Points_as_neopro","heuristic"
"brändle matthias",2009,306,0.666666666666667
"bravo garikoitz",2011,52,0.125
"brea anthony josé",2007,70,0
"breen vegard",2014,112,0.0625
"brenner marco",2021,NA,1.36363636363636
"bresciani michael",2018,37,0.25
"breyne jonathan",2011,10,0.311111111111111
"broeckx stig",2014,153,1
"brown connor",2021,NA,0
"brown jonny",2018,24,0
"brown nathan",2014,93,0.302380952380952
"brozyna piotr",2015,6,0
"bruson simone",2007,1,0.5
"brussenskiy gleb",2021,NA,0
"bryon miguel",2018,13,0.025
"buchmann emanuel",2015,484,0.533333333333333
"budding martijn",2017,113,0.5625
"bueken joeri",2013,0,0
"buitrago santiago",2020,69,0.4
"burgaudeau mathieu",2019,68,0.566666666666667
"butler chris",2011,148,0
"buts vitaliy",2009,190,0.833333333333333
"butterfield tyler",2007,0,0
"bystrøm sven erik",2015,266,0.547619047619048
"cabello antonio",2010,20,0
"caldwell blake",2007,10,0
"calle juan fernando",2020,NA,0
"calmejane lilian",2016,1103,1.1
"cam maxime",2015,7,0
"camacho julio alexis",2013,39,0
"camargo diego andres",2021,NA,0
"cammaerts edwig",2011,122,0
"campenaerts victor",2014,370,0.666666666666667
"campos francisco",2019,39,0
"cañellas xavier",2019,49,0
"cano jose luis",2011,42,0
"canola marco",2012,146,0.2
"cantón isaac",2020,NA,0
"capelli ermano",2008,80,0.458333333333333
"capiot amaury",2015,432,0.7
"carbel michael",2015,107,0.283333333333333
"carboni giovanni",2018,188,0.447751322751323
"cardis romain",2016,148,0
"cardona julián",2018,0,0
"carlsen kirk",2010,28,0.125
"carretero héctor",2018,115,0
"carretero ramón",2013,2,0
"caruso damiano",2009,185,1.375
"carvalho andre",2019,50,0
"castrillo jaime",2018,93,0
"castroviejo jonathan",2010,314,0.2
"cataford alexander",2017,111,0
"cataldo dario",2007,211,0.5
"cattaneo mattia",2013,87,1.10444444444444
"cauquil yohan",2008,29,0
"cavagna rémi",2017,489,0.366666666666667
"cavendish mark",2007,1947,0.5
"cepeda jefferson alexander",2020,24,1
"cerný josef",2013,45,0.0714285714285714
"chaigneau robin",2010,89,0.195833333333333
"champion dimitri",2007,94,0
"champion thomas",2021,NA,1.08333333333333
"charmig anthon",2021,NA,1
"charucki pawel",2011,0,0
"chaves esteban",2011,355,0
"cherel mikaël",2008,270,0.166666666666667
"cherkasov nikolay",2018,295,0.27051282051282
"chernetski sergei",2013,800,0.696428571428571
"chetout loïc",2015,152,0.25
"chevrier clément",2015,74,0.288888888888889
"chirico luca",2015,152,0.487619047619048
"chtioui rafaâ",2010,197,0.25
"ciccone giulio",2016,412,0.547619047619048
"cima imerio",2018,263,0.333333333333333
"cimolai davide",2010,164,0.333333333333333
"claeys dimitri",2011,9,0.0833333333333333
"claeys kevin",2012,78,0
"clancy edward",2007,1,1.25
"clancy stephen",2013,0,0
"clarke simon",2010,401,0.635714285714286
"colbrelli sonny",2012,454,1
"coledan marco",2012,81,0
"colleoni kevin",2021,NA,1.2625
